Geneid	F1_1	F1_2	F1_3	ND_1	ND_2	ND_3
lncRNA:CR46062	0	0	1	3	1	0
lncRNA:CR46061	12	6	7	7	6	6
lncRNA:CR46060	18	23	46	10	24	37
lncRNA:CR46102	0	0	0	1	0	0
asRNA:CR46101	0	0	0	0	0	0
lncRNA:CR45917	0	0	0	0	0	0
lncRNA:CR45910	6	11	6	5	10	8
lncRNA:CR46100	0	0	2	0	2	1
asRNA:CR46099	0	0	0	0	0	0
lncRNA:CR46098	4	0	1	4	5	2
asRNA:CR46097	0	0	0	0	0	0
lncRNA:CR43166	0	2	4	1	2	4
asRNA:CR46096	0	0	0	0	0	0
lncRNA:CR46095	4	2	2	2	4	4
lncRNA:CR46094	7	14	4	6	2	15
lncRNA:CR45950	0	0	0	0	0	0
asRNA:CR46093	11	7	15	10	11	10
asRNA:CR46092	0	0	0	0	0	0
asRNA:CR46091	0	0	1	2	1	0
lncRNA:CR46090	1	0	1	0	0	0
asRNA:CR46089	14	17	17	12	10	15
lncRNA:CR46088	0	0	0	0	0	0
asRNA:CR46054	0	0	0	0	0	0
asRNA:CR46261	0	0	1	0	0	0
lncRNA:CR46057	0	0	0	0	0	0
lncRNA:CR46056	0	0	1	1	0	2
asRNA:CR46055	6	2	3	5	4	7
lncRNA:CR46046	0	0	0	0	0	1
lncRNA:Hsromega	3031	2583	3118	3034	2912	3002
asRNA:CR45798	1	2	0	1	1	2
asRNA:CR46045	0	0	0	0	0	1
asRNA:CR44106	1	3	0	0	1	0
asRNA:CR46044	1	0	0	0	0	0
asRNA:CR45800	0	0	0	0	0	0
lncRNA:CR46043	3	1	1	3	3	6
lncRNA:CR46042	0	0	0	0	0	0
lncRNA:CR46040	1	1	1	0	0	2
lncRNA:CR46039	1	4	1	1	2	3
lncRNA:CR46041	20	13	20	20	16	17
lncRNA:CR46265	0	0	0	0	1	0
lncRNA:CR45996	3	4	2	3	1	2
lncRNA:CR46035	104	101	126	97	134	149
lncRNA:CR46036	7	7	12	13	6	13
lncRNA:CR45223	73	106	72	103	107	98
asRNA:CR46029	14	12	6	11	14	13
lncRNA:CR46023	0	0	0	0	0	0
lncRNA:CR46028	0	0	0	0	0	1
lncRNA:CR46022	0	1	0	0	2	0
asRNA:CR45891	0	0	0	0	0	0
lncRNA:CR46021	3	0	3	1	1	1
lncRNA:CR45911	8	5	5	2	8	8
asRNA:CR46020	0	0	0	0	0	0
lncRNA:CR46239	4	4	2	3	6	1
asRNA:CR46058	0	0	0	0	0	0
lncRNA:CR45914	1	0	4	2	4	4
asRNA:CR46081	0	0	0	0	0	0
lncRNA:CR46199	1	0	0	0	0	0
lncRNA:CR46019	0	1	0	0	0	0
lncRNA:CR46218	8	3	4	6	6	5
lncRNA:CR46217	1	1	1	1	0	1
lncRNA:CR46238	0	1	0	1	0	0
asRNA:CR46018	0	0	0	0	0	0
lncRNA:CR46017	0	0	0	0	0	0
lncRNA:CR46016	1	1	0	0	0	0
lncRNA:CR46015	1	1	1	1	1	4
lncRNA:CR46014	0	1	0	0	0	1
lncRNA:CR46013	0	1	0	0	1	0
lncRNA:CR46203	0	0	0	0	0	0
asRNA:CR46012	0	0	0	0	0	0
lncRNA:CR46011	1	0	0	0	0	0
lncRNA:CR46010	0	0	0	0	0	0
lncRNA:CR46009	0	0	0	0	0	0
lncRNA:CR46008	11	3	14	16	14	16
lncRNA:CR46007	1	1	1	3	1	1
asRNA:CR46038	0	0	0	0	0	0
lncRNA:CR43459	149	151	70	162	152	115
lncRNA:CR45790	0	1	0	2	1	0
asRNA:CR46144	2	2	6	4	3	5
asRNA:CR46145	9	5	6	7	3	7
lncRNA:CR46124	0	0	0	0	0	0
lncRNA:CR46228	0	0	0	1	0	0
lncRNA:CR46125	0	1	1	1	0	0
lncRNA:CR46126	1	0	0	0	2	1
lncRNA:CR46142	0	0	0	0	0	0
lncRNA:CR46143	4	2	3	4	2	7
lncRNA:CR46127	1	0	3	1	3	2
lncRNA:CR46226	0	0	0	0	0	1
lncRNA:CR46225	0	0	1	0	0	0
asRNA:CR46129	1	0	2	0	0	0
asRNA:CR46128	12	10	13	14	5	17
lncRNA:CR46224	0	0	0	0	0	0
lncRNA:CR46130	0	0	1	0	0	0
asRNA:CR45909	1	0	0	0	1	0
lncRNA:CR45906	6	4	6	6	8	6
asRNA:CR45907	8	9	6	9	7	8
asRNA:CR45908	12	9	11	15	15	26
lncRNA:CR45899	0	1	0	0	0	0
lncRNA:CR45900	1	0	0	0	0	0
lncRNA:CR45905	0	0	2	0	0	0
lncRNA:CR45904	0	0	1	0	0	0
lncRNA:CR45903	0	0	0	0	0	0
lncRNA:CR45902	0	0	0	0	0	0
lncRNA:CR45901	0	0	0	0	0	0
lncRNA:CR45915	0	0	0	0	0	0
lncRNA:CR46131	1	0	0	1	0	0
lncRNA:CR46132	1	0	0	0	0	1
lncRNA:CR43486	0	0	0	0	1	0
lncRNA:CR46221	0	0	1	0	0	0
lncRNA:CR45762	0	1	0	0	0	2
lncRNA:CR45761	1	2	2	2	0	2
asRNA:CR46133	0	0	0	0	0	0
asRNA:CR46134	0	1	1	0	0	0
asRNA:CR46135	6	13	9	3	3	6
asRNA:CR46136	38	38	30	31	38	42
lncRNA:CR45793	7	7	4	6	9	7
asRNA:CR46137	60	45	42	56	52	49
asRNA:CR46138	0	0	0	0	0	0
asRNA:CR45999	3	7	4	9	4	12
asRNA:CR46139	4	6	4	4	9	4
asRNA:CR46140	0	0	0	0	0	0
asRNA:CR46255	5	4	3	7	7	3
lncRNA:CR46141	1	0	1	0	2	0
lncRNA:CR46122	0	0	0	0	0	0
lncRNA:CR46123	0	1	1	3	1	2
lncRNA:CR46250	2	5	2	2	5	3
lncRNA:CR46252	0	0	0	0	0	0
asRNA:CR45970	0	0	0	0	0	0
asRNA:CR45968	0	0	0	0	0	0
asRNA:CR45969	5	1	5	3	5	2
lncRNA:CR45961	0	0	0	0	0	0
lncRNA:CR46227	0	0	0	0	0	0
lncRNA:CR45967	0	0	0	0	0	0
lncRNA:CR45959	0	0	0	0	0	0
lncRNA:CR45966	1	0	0	0	1	0
lncRNA:CR45958	0	0	0	0	0	0
lncRNA:CR45965	0	0	0	0	0	0
lncRNA:CR45957	0	1	0	1	0	0
lncRNA:CR45964	0	0	0	1	0	0
lncRNA:CR45920	1	1	1	0	0	0
lncRNA:CR45962	8	7	4	7	6	2
lncRNA:CR45956	0	0	0	0	0	0
lncRNA:CR45963	0	0	0	0	0	0
asRNA:CR45955	1	2	0	2	2	2
asRNA:CR45960	3	0	1	3	1	4
lncRNA:CR45954	0	0	0	1	0	1
lncRNA:CR45972	0	0	0	0	0	0
lncRNA:CR45953	0	0	0	0	0	0
lncRNA:CR45971	0	0	0	0	0	0
asRNA:CR46068	13	12	15	14	14	19
lncRNA:CR45803	7	8	3	7	8	11
asRNA:CR45952	6	11	2	8	11	9
asRNA:CR45951	9	5	1	0	2	6
lncRNA:CR45945	2	1	5	5	1	3
asRNA:CR45801	0	0	1	0	1	0
asRNA:CR45944	1	1	0	0	0	0
asRNA:CR45943	0	0	0	0	0	0
lncRNA:CR45973	269	259	393	238	254	265
asRNA:CR32224	0	0	0	0	0	0
lncRNA:CR45942	0	0	0	0	0	0
lncRNA:CR45916	7	5	5	3	7	7
asRNA:CR46047	0	0	0	0	0	0
asRNA:CR46048	2	3	4	0	0	1
lncRNA:CR46216	1	0	2	0	0	1
lncRNA:CR45941	0	0	2	0	0	1
lncRNA:CR45940	0	1	0	1	0	0
asRNA:CR45912	0	0	1	1	0	1
lncRNA:CR45388	1	1	0	3	2	4
lncRNA:CR45939	0	2	0	0	0	1
lncRNA:CR45938	2	0	1	2	3	3
lncRNA:CR46215	0	0	0	0	0	0
asRNA:CR45974	0	0	0	0	0	0
lncRNA:CR45975	0	0	0	0	0	0
lncRNA:CR45936	0	2	1	0	0	1
lncRNA:CR45937	0	4	0	1	2	1
lncRNA:CR45935	0	0	0	0	0	0
lncRNA:CR45922	2	2	1	0	1	1
lncRNA:CR45921	0	0	0	1	0	0
lncRNA:CR43174	3	4	4	3	1	1
lncRNA:CR45976	0	0	0	1	0	0
lncRNA:CR45898	2	1	3	0	2	1
lncRNA:CR46214	1	0	0	0	0	0
lncRNA:CR45897	1	3	0	0	0	0
asRNA:CR46033	0	3	1	0	3	1
asRNA:CR45865	0	0	0	0	0	0
asRNA:CR45895	0	0	0	0	0	1
asRNA:CR45894	0	0	0	0	0	0
lncRNA:CR45893	0	0	0	0	0	0
asRNA:CR45890	0	0	0	0	0	0
asRNA:CR45889	1	2	2	4	5	2
lncRNA:CR45998	1	1	1	0	0	0
lncRNA:CR46197	0	0	0	0	0	0
lncRNA:CR45977	0	0	0	1	1	0
lncRNA:CR46213	0	0	0	0	0	0
lncRNA:CR45978	0	0	0	0	0	0
lncRNA:CR45888	3	1	1	0	0	0
lncRNA:CR46031	1	0	0	0	0	0
lncRNA:CR46032	0	1	0	1	1	1
lncRNA:CR45887	0	0	0	0	0	0
asRNA:CR46067	0	0	0	0	0	0
asRNA:CR46266	0	0	0	0	0	0
lncRNA:CR45825	0	0	1	0	2	0
asRNA:CR45886	0	0	0	0	0	0
lncRNA:CR43912	0	0	0	0	0	0
asRNA:CR46251	2	2	1	0	1	3
lncRNA:CR45824	3	2	2	1	0	0
lncRNA:CR46241	1	0	0	0	0	0
asRNA:CR45892	0	0	0	0	0	0
asRNA:CR11538	0	0	1	2	1	1
asRNA:CR45885	0	0	0	0	0	0
lncRNA:CR45884	1	1	6	2	1	4
asRNA:CR45882	6	2	6	5	5	9
lncRNA:CR45883	0	0	0	0	0	0
lncRNA:CR45880	0	0	0	0	0	1
lncRNA:CR45881	7	11	14	13	11	9
asRNA:CR46049	0	0	0	0	0	0
lncRNA:CR46240	0	0	0	0	0	0
asRNA:CR46050	49	47	35	59	41	54
lncRNA:CR46231	0	1	0	0	0	0
lncRNA:CR46230	1	0	0	1	0	1
lncRNA:CR46212	0	0	0	0	0	0
lncRNA:CR46006	270	247	349	258	234	236
asRNA:CR45804	22	19	20	12	23	15
lncRNA:CR46004	6	8	7	4	7	11
asRNA:CR46246	15	13	27	8	13	12
asRNA:CR45874	2	5	7	7	5	5
lncRNA:CR46003	56	63	57	59	70	66
asRNA:CR45873	0	0	0	0	0	1
lncRNA:CR45879	0	0	0	0	0	0
asRNA:CR45872	0	0	0	0	0	0
asRNA:CR43481	3	4	8	5	5	8
lncRNA:CR45878	0	0	0	0	0	0
asRNA:CR45871	0	0	0	0	0	0
lncRNA:CR45877	0	0	0	0	0	0
lncRNA:CR45823	0	0	0	0	0	1
lncRNA:CR45876	0	3	0	0	0	0
asRNA:CR45870	3	0	2	3	1	5
asRNA:CR45875	0	0	0	0	0	0
asRNA:CR45869	0	0	0	0	0	0
asRNA:CR45868	1	0	2	3	1	0
asRNA:CR45867	0	2	1	0	0	0
lncRNA:CR45866	0	0	0	1	0	0
asRNA:CR45896	0	0	1	0	0	0
asRNA:CR45835	0	2	1	0	3	0
asRNA:CR45822	1	4	1	1	1	2
lncRNA:CR45833	6	8	6	10	6	13
asRNA:CR45832	0	0	1	2	0	0
lncRNA:CR46000	0	0	0	0	0	0
lncRNA:CR45979	0	1	1	2	0	1
lncRNA:CR45980	0	0	0	0	0	0
lncRNA:CR46005	4	5	3	5	1	4
lncRNA:CR46001	0	0	0	1	0	0
asRNA:CR45831	0	0	0	0	0	0
lncRNA:CR45985	3	1	1	3	3	3
lncRNA:CR46198	0	0	0	0	0	0
lncRNA:CR45821	2	2	5	6	5	0
lncRNA:CR45984	0	0	0	0	0	0
lncRNA:CR45983	0	0	0	0	0	0
asRNA:CR45830	1	0	0	0	1	0
lncRNA:CR44709	3	3	4	2	6	1
lncRNA:CR45820	1	1	0	0	0	1
lncRNA:CR43626	0	0	0	0	1	1
lncRNA:CR45819	1	4	1	4	3	4
lncRNA:CR45982	0	1	2	1	2	0
lncRNA:CR45981	1	0	0	0	1	0
asRNA:CR45829	0	0	0	0	0	0
asRNA:CR45802	6	2	6	5	7	3
asRNA:CR45828	0	0	0	0	0	0
asRNA:CR45827	0	1	0	1	0	0
lncRNA:CR45826	0	0	0	0	0	1
asRNA:CR45818	0	0	0	0	0	0
asRNA:CR45834	9	8	4	6	10	7
asRNA:CR45815	3	6	8	1	4	5
asRNA:CR45814	0	0	0	1	0	0
asRNA:CR45813	10	3	10	6	7	7
asRNA:CR45812	1	0	2	1	0	0
lncRNA:CR45811	3	8	3	6	7	5
lncRNA:CR45810	0	1	0	0	0	0
lncRNA:CR45809	0	0	0	0	0	1
lncRNA:CR46200	0	0	0	0	1	0
asRNA:CR45807	0	0	0	0	0	0
lncRNA:CR45808	0	0	0	2	1	0
lncRNA:CR46249	0	0	1	0	0	0
lncRNA:CR46002	0	1	1	0	0	1
asRNA:CR45806	0	0	0	0	0	0
lncRNA:CR45805	5	4	6	1	8	3
lncRNA:CR43150	0	0	0	0	0	0
asRNA:CR45926	0	0	0	0	0	0
asRNA:CR45928	8	11	11	5	8	6
lncRNA:CR44750	1	0	0	0	0	0
asRNA:CR45925	2	2	0	0	1	0
lncRNA:CR46234	1	2	2	1	1	0
lncRNA:CR46271	4	2	1	5	2	0
lncRNA:CR45997	0	0	0	0	0	0
lncRNA:CR46235	0	0	0	1	0	0
lncRNA:CR43104	1	0	0	1	0	2
lncRNA:CR45232	1	1	1	0	2	2
lncRNA:CR45994	2	0	7	3	3	6
lncRNA:CR45993	1	2	3	1	1	0
asRNA:CR45927	0	0	0	0	0	0
asRNA:CR42254	29	26	32	24	27	22
lncRNA:CR42715	35	15	27	17	13	30
asRNA:CR44368	7	6	11	8	7	12
lncRNA:CR44206	3	4	3	0	0	1
lncRNA:CR46237	0	0	0	0	0	0
lncRNA:CR46194	232	250	143	249	314	274
scaRNA:PsiU2-55	1	2	0	0	1	1
lncRNA:CR46229	0	0	0	0	0	0
lncRNA:acal	2	3	2	1	3	2
lncRNA:CR46257	1	2	0	0	0	1
lncRNA:CR46268	92	80	100	67	58	100
lncRNA:CR45918	25	34	13	24	27	31
asRNA:CR45924	11	9	5	9	8	6
lncRNA:CR46075	3	0	1	1	1	4
asRNA:CR46269	0	0	0	0	0	0
lncRNA:CR46064	435	421	454	469	433	498
lncRNA:CR45923	3	0	1	3	3	2
lncRNA:CR46202	0	0	0	0	0	0
asRNA:CR46066	25	28	25	24	35	36
lncRNA:CR46253	0	0	0	0	0	0
lncRNA:CR45361	8	3	7	7	6	1
lncRNA:CR46209	0	0	0	0	0	0
lncRNA:CR43406	0	1	0	0	0	0
lncRNA:CR45919	1	1	0	0	1	1
lncRNA:CR46204	17	14	8	14	14	12
asRNA:CR43806	5	4	1	3	2	7
lncRNA:CR45913	0	0	0	0	0	0
asRNA:CR46256	2	3	4	3	1	5
lncRNA:CR46206	0	0	0	0	0	0
asRNA:CR46070	0	0	0	0	0	0
asRNA:CR46264	0	1	0	0	0	0
asRNA:CR45778	0	0	0	0	0	0
asRNA:CR45789	19	15	20	17	24	18
lncRNA:CR45949	7	6	4	6	5	3
lncRNA:CR46208	0	0	3	2	0	0
asRNA:CR46071	0	0	0	0	1	0
lncRNA:CR44415	0	1	0	0	0	1
asRNA:CR46074	0	0	0	0	0	0
lncRNA:CR46063	0	0	0	0	0	0
lncRNA:CR46205	1	0	0	2	1	0
lncRNA:CR46210	0	0	1	1	2	0
lncRNA:CR46196	0	0	0	0	0	0
lncRNA:CR45791	0	0	0	0	0	0
snRNA:LU	0	0	0	0	0	0
asRNA:CR46069	0	0	0	0	0	0
lncRNA:CR46260	1	1	1	2	4	1
lncRNA:CR46259	1	0	0	0	0	1
lncRNA:CR46258	1	0	0	0	0	0
asRNA:CR46263	23	18	21	21	22	22
asRNA:CR46262	3	5	2	3	4	5
lncRNA:CR46254	8	12	14	8	17	12
Su(Ste):CR42444	0	0	0	0	0	0
Su(Ste):CR42438	0	0	0	0	0	0
Su(Ste):CR42432	0	0	0	0	0	0
Su(Ste):CR42419	0	0	0	0	0	0
asRNA:CR45139	1	0	0	0	0	0
lncRNA:CR45220	0	0	0	0	0	0
lncRNA:CR45181	8	5	7	1	0	7
lncRNA:CR45177	11	12	22	22	21	15
asRNA:CR45182	30	24	37	30	28	20
lncRNA:CR45180	224	201	233	177	196	176
lncRNA:CR41257	9	7	3	8	6	6
lncRNA:CR44268	13	6	12	12	12	12
lncRNA:CR45557	13	13	18	17	13	15
lncRNA:CR45556	2	0	4	0	1	3
lncRNA:CR44263	0	0	0	0	0	0
lncRNA:CR45052	1	4	2	2	1	1
lncRNA:CR45565	0	1	1	1	0	0
lncRNA:CR45564	6	9	10	10	10	13
lncRNA:CR45553	3	4	4	5	5	4
asRNA:CR45190	0	1	2	3	0	1
lncRNA:CR45573	0	0	0	0	0	0
lncRNA:CR45552	0	1	1	1	1	1
lncRNA:CR45572	0	0	0	0	0	0
lncRNA:CR45555	5	1	3	3	11	7
lncRNA:CR45570	1	0	0	0	0	1
lncRNA:CR45554	0	0	0	0	0	0
lncRNA:CR44262	0	1	1	0	0	0
asRNA:CR45189	0	1	0	0	0	3
lncRNA:CR44953	2	5	5	3	2	18
lncRNA:CR45191	0	2	0	0	0	1
lncRNA:CR45569	0	0	0	0	0	0
lncRNA:CR45571	1	0	1	0	0	0
lncRNA:CR45547	0	0	1	0	0	0
lncRNA:CR45568	0	0	0	0	0	0
lncRNA:CR45030	0	1	0	0	0	0
asRNA:CR45044	0	1	1	1	1	0
lncRNA:CR45567	9	6	7	8	10	15
lncRNA:CR44264	0	1	0	3	3	1
lncRNA:CR45669	17	13	21	13	13	17
lncRNA:CR44952	0	0	0	0	0	0
lncRNA:CR43440	0	2	0	0	0	1
lncRNA:CR44229	0	0	0	0	0	0
asRNA:CR45041	0	0	0	0	0	0
lncRNA:CR45566	8	4	7	4	4	2
lncRNA:CR44288	1	0	0	0	0	0
lncRNA:CR44289	0	0	0	1	0	0
asRNA:CR44287	0	0	0	0	0	0
lncRNA:CR34006	2	0	0	0	1	0
asRNA:CR45209	33	38	34	26	42	34
lncRNA:CR45563	0	0	0	0	0	0
lncRNA:CR45562	1	1	0	0	0	0
lncRNA:CR44951	5	6	4	5	5	6
lncRNA:CR45226	0	0	0	2	0	0
asRNA:CR44321	20	15	10	19	16	13
lncRNA:CR44320	46	40	17	44	34	42
lncRNA:CR44319	0	0	1	0	0	1
lncRNA:CR44950	0	0	0	0	0	0
lncRNA:CR45040	0	0	0	0	0	0
lncRNA:CR45039	8	14	10	5	10	14
lncRNA:CR45038	0	0	0	0	1	1
lncRNA:CR45037	0	0	0	0	0	0
lncRNA:CR45657	2	0	1	2	0	0
lncRNA:CR45656	1	0	0	0	0	0
lncRNA:CR45655	1	0	0	0	0	0
lncRNA:CR45654	1	1	0	0	0	0
lncRNA:CR45653	0	0	0	0	0	0
lncRNA:CR44949	1	7	2	4	1	2
lncRNA:CR45652	0	0	0	0	0	2
lncRNA:CR45225	0	0	0	0	0	0
asRNA:CR45208	0	0	0	0	0	0
lncRNA:CR45651	12	9	3	5	5	7
lncRNA:CR44948	0	0	0	1	0	1
asRNA:CR45214	11	18	13	7	18	3
asRNA:CR44267	2	2	1	1	3	6
lncRNA:CR45216	0	0	0	0	1	1
lncRNA:CR45650	3	3	5	5	1	0
lncRNA:CR45649	0	0	0	0	0	0
lncRNA:CR45662	4	7	4	4	4	2
lncRNA:CR45217	12	4	2	8	8	4
lncRNA:CR44097	0	0	0	0	0	0
